slug,state,statsSource,annualGrowthHouse,medianHousePrice
mogo-nsw-2850,NSW,rental-nsw,100,300000
garah-nsw-2405,NSW,rental-nsw,-99.3,133500
crowdy-head-nsw-2427,NSW,rental-nsw,98,1980000
whiporie-nsw-2469,NSW,rental-nsw,98,594000
hyndmans-creek-nsw-2446,NSW,rental-nsw,97.5,800000
glen-oak-nsw-2320,NSW,rental-nsw,97.1,1380000
shark-creek-nsw-2463,NSW,rental-nsw,96.9,1250000
manton-nsw-2582,NSW,rental-nsw,-95.8,75000
bunyah-nsw-2429,NSW,rental-nsw,95.7,1150000
dundee-nsw-2370,NSW,rental-nsw,95.7,450000
frazers-creek-nsw-2446,NSW,rental-nsw,94.6,1150000
terry-hie-hie-nsw-2400,NSW,rental-nsw,-94,110000
woolbrook-nsw-2354,NSW,rental-nsw,93.1,492500
fawcetts-plain-nsw-2474,NSW,rental-nsw,92.6,1690000
curra-creek-nsw-2820,NSW,rental-nsw,92.5,770000
bungawalbin-nsw-2469,NSW,rental-nsw,92.4,827500
rainbow-reach-nsw-2440,NSW,rental-nsw,92.3,1250000
collingullie-nsw-2650,NSW,rental-nsw,-92,60000
stepney-sa-5069,SA,sales-sa,91.9,1650000
tomingley-nsw-2869,NSW,rental-nsw,91.3,1100000
tyringham-nsw-2453,NSW,rental-nsw,-91.1,120000
euabalong-nsw-2877,NSW,rental-nsw,90.5,300000
khancoban-nsw-2642,NSW,rental-nsw,90.2,319000
trentham-cliffs-nsw-2738,NSW,rental-nsw,-89.5,70000
chakola-nsw-2630,NSW,rental-nsw,-89,103000
sutton-forest-nsw-2577,NSW,rental-nsw,88.3,1700000
kent-town-sa-5067,SA,sales-sa,87.9,3100000
kangy-angy-nsw-2258,NSW,rental-nsw,87.6,1510000
round-swamp-nsw-2846,NSW,rental-nsw,-87.1,265000
nashua-nsw-2479,NSW,rental-nsw,86.9,2500000
st-albans-nsw-2775,NSW,rental-nsw,86.9,925000
eumungerie-nsw-2831,NSW,rental-nsw,-86.6,112500
angus-nsw-2765,NSW,rental-nsw,-85.2,200000
glenunga-sa-5064,SA,sales-sa,85.1,2447500
bilgola-nsw-2107,NSW,rental-nsw,-84.6,215000
st-georges-sa-5064,SA,sales-sa,83.9,2850000
wyanbene-nsw-2622,NSW,rental-nsw,83.5,780000
winton-nsw-2344,NSW,rental-nsw,82.8,1700000
ewingar-nsw-2469,NSW,rental-nsw,82.7,950000
brunkerville-nsw-2323,NSW,rental-nsw,-82.3,300000
everard-park-sa-5035,SA,sales-sa,82.1,1821250
upper-fine-flower-nsw-2460,NSW,rental-nsw,-81.4,155000
cookamidgera-nsw-2870,NSW,rental-nsw,-81.2,120000
alison-nsw-2420,NSW,rental-nsw,-80.8,340000
duranbah-nsw-2487,NSW,rental-nsw,80.5,2400000
heatherbrae-nsw-2324,NSW,rental-nsw,-80.3,680000
numinbah-nsw-2484,NSW,rental-nsw,-80.2,1110000
the-whiteman-nsw-2460,NSW,rental-nsw,-80,250000
bective-nsw-2340,NSW,rental-nsw,-79.4,710000
kalang-nsw-2454,NSW,rental-nsw,-79.3,190000
jerrong-nsw-2580,NSW,rental-nsw,79,470000
cobargo-nsw-2550,NSW,rental-nsw,78.9,635000
mullengandra-nsw-2644,NSW,rental-nsw,78.8,697500
thebarton-sa-5031,SA,sales-sa,78,1495000
birriwa-nsw-2844,NSW,rental-nsw,77.8,160000
georges-plains-nsw-2795,NSW,rental-nsw,-77.8,350000
orchard-hills-nsw-2748,NSW,rental-nsw,-77.6,3130000
great-mackerel-beach-nsw-2108,NSW,rental-nsw,77.5,2875000
paynes-crossing-nsw-2325,NSW,rental-nsw,-77.2,615000
frogs-hollow-nsw-2550,NSW,rental-nsw,77.1,1275000
runnyford-nsw-2536,NSW,rental-nsw,-77,575000
napoleon-reef-nsw-2795,NSW,rental-nsw,76.7,1015000
greenleigh-nsw-2620,NSW,rental-nsw,76.6,1275000
leconfield-nsw-2335,NSW,rental-nsw,-76.3,333000
grattai-nsw-2850,NSW,rental-nsw,76.3,820000
bibbenluke-nsw-2632,NSW,rental-nsw,-75.9,740000
wooyung-nsw-2483,NSW,rental-nsw,-75.8,1200000
moonan-flat-nsw-2337,NSW,rental-nsw,-75.6,100000
carcalgong-nsw-2850,NSW,rental-nsw,75.5,865000
euchareena-nsw-2866,NSW,rental-nsw,-75.4,97000
budgong-nsw-2577,NSW,rental-nsw,-75.2,375000
bundarra-nsw-2359,NSW,rental-nsw,75.1,327500
walgett-nsw-2832,NSW,rental-nsw,75,350000
guerilla-bay-nsw-2536,NSW,rental-nsw,75,1400000
matong-nsw-2652,NSW,rental-nsw,75,210000
st-fillans-nsw-2850,NSW,rental-nsw,74.9,1535000
mogilla-nsw-2550,NSW,rental-nsw,-73.6,350000
hillville-nsw-2430,NSW,rental-nsw,72.8,1270000
rock-valley-nsw-2480,NSW,rental-nsw,-72.7,750000
new-italy-nsw-2472,NSW,rental-nsw,-72.7,270000
goobarragandra-nsw-2720,NSW,rental-nsw,-72.1,600000
luskintyre-nsw-2321,NSW,rental-nsw,-72,550000
green-forest-nsw-2471,NSW,rental-nsw,-71.9,160000
blandford-nsw-2338,NSW,rental-nsw,-71.6,125000
kingfisher-shores-nsw-2259,NSW,rental-nsw,71.5,1080500
weethalle-nsw-2669,NSW,rental-nsw,71.4,300000
kentucky-nsw-2354,NSW,rental-nsw,71.4,780000
sheedys-gully-nsw-2790,NSW,rental-nsw,71.3,1130000
tullamore-nsw-2874,NSW,rental-nsw,71.1,290000
peelwood-nsw-2583,NSW,rental-nsw,-71.1,182000
macquarie-links-nsw-2565,NSW,rental-nsw,71,1590000
argents-hill-nsw-2449,NSW,rental-nsw,71,825000
edith-nsw-2787,NSW,rental-nsw,-71,420000
the-ridgeway-nsw-2620,NSW,rental-nsw,-70.7,550000
chambigne-nsw-2460,NSW,rental-nsw,-70.5,189000
mylneford-nsw-2460,NSW,rental-nsw,70.4,1150000
rocky-glen-nsw-2357,NSW,rental-nsw,70.3,272500
coaldale-nsw-2460,NSW,rental-nsw,70,935000
tantawangalo-nsw-2550,NSW,rental-nsw,69.9,1300000
araluen-nsw-2622,NSW,rental-nsw,69.6,950000
budgee-budgee-nsw-2850,NSW,rental-nsw,69.2,1100000
dooralong-nsw-2259,NSW,rental-nsw,69.2,3900000
broadwater-nsw-2549,NSW,rental-nsw,-69.1,300000
glenugie-nsw-2460,NSW,rental-nsw,68.9,825000
warri-nsw-2622,NSW,rental-nsw,-68.7,368334
mount-russell-nsw-2360,NSW,rental-nsw,-68.7,165000
mount-vincent-nsw-2323,NSW,rental-nsw,-68.1,550000
east-kangaloon-nsw-2576,NSW,rental-nsw,67.9,2350000
bretti-nsw-2422,NSW,rental-nsw,-67.5,400000
bigga-nsw-2583,NSW,rental-nsw,-67.3,170000
repentance-creek-nsw-2480,NSW,rental-nsw,-67.1,345000
menindee-nsw-2879,NSW,rental-nsw,66.7,240000
chillingham-nsw-2484,NSW,rental-nsw,66.7,950000
saddleback-mountain-nsw-2533,NSW,rental-nsw,-66.6,1568750
dinoga-nsw-2404,NSW,rental-nsw,66.5,258000
billinudgel-nsw-2483,NSW,rental-nsw,-66.2,1300000
cedar-creek-nsw-2325,NSW,rental-nsw,-66.2,260000
hanging-rock-nsw-2340,NSW,rental-nsw,66.1,465000
monaltrie-nsw-2480,NSW,rental-nsw,66,780000
carcoar-nsw-2791,NSW,rental-nsw,-66,240000
bendick-murrell-nsw-2803,NSW,rental-nsw,-66,169000
baradine-nsw-2396,NSW,rental-nsw,65.6,265000
bedgerabong-nsw-2871,NSW,rental-nsw,-65.6,320000
lerida-nsw-2581,NSW,rental-nsw,-65.5,583334
central-macdonald-nsw-2775,NSW,rental-nsw,65.5,1820000
moore-creek-nsw-2340,NSW,rental-nsw,-65.3,306500
tomago-nsw-2322,NSW,rental-nsw,65.2,2065000
curraweela-nsw-2580,NSW,rental-nsw,64.8,1100000
nymboida-nsw-2460,NSW,rental-nsw,64.8,680000
bolong-nsw-2540,NSW,rental-nsw,64.7,1400000
lower-acacia-creek-nsw-2476,NSW,rental-nsw,-64.6,140000
lynchs-creek-nsw-2474,NSW,rental-nsw,64.6,1350000
ilford-nsw-2850,NSW,rental-nsw,-64.5,375000
grevillia-nsw-2474,NSW,rental-nsw,64.4,600000
mungindi-nsw-2406,NSW,rental-nsw,64.3,230000
baan-baa-nsw-2390,NSW,rental-nsw,64.3,230000
nelligen-nsw-2536,NSW,rental-nsw,64.3,805000
blue-knob-nsw-2480,NSW,rental-nsw,-64,212500
burcher-nsw-2671,NSW,rental-nsw,-63.8,210000
gundy-nsw-2337,NSW,rental-nsw,63.6,530000
wagstaffe-nsw-2257,NSW,rental-nsw,-63.6,1300000
boxers-creek-nsw-2580,NSW,rental-nsw,-63.6,400000
putty-nsw-2330,NSW,rental-nsw,63.5,1210000
kelvin-nsw-2380,NSW,rental-nsw,63.3,1200000
golspie-nsw-2580,NSW,rental-nsw,-63.3,550000
bocoble-nsw-2850,NSW,rental-nsw,63.2,832500
black-range-nsw-2550,NSW,rental-nsw,62.8,985000
the-pocket-nsw-2483,NSW,rental-nsw,62.5,1950000
wyong-creek-nsw-2259,NSW,rental-nsw,62.3,2800000
legume-nsw-2476,NSW,rental-nsw,-62.3,200000
upper-kangaroo-river-nsw-2577,NSW,rental-nsw,-62.1,1250000
stuart-town-nsw-2820,NSW,rental-nsw,-62.1,120000
yellow-pinch-nsw-2548,NSW,rental-nsw,61.9,1250000
rosewood-nsw-2652,NSW,rental-nsw,-61.8,275000
old-junee-nsw-2652,NSW,rental-nsw,-61.5,541250
gulargambone-nsw-2828,NSW,rental-nsw,61.5,210000
smiths-creek-nsw-2484,NSW,rental-nsw,61.5,1950000
billimari-nsw-2804,NSW,rental-nsw,-61.4,85000
cheero-point-nsw-2083,NSW,rental-nsw,61.3,1000000
ingleside-nsw-2101,NSW,rental-nsw,61.2,5650000
the-junction-nsw-2291,NSW,rental-nsw,61.1,1885000
kremnos-nsw-2460,NSW,rental-nsw,61.1,579975
akolele-nsw-2546,NSW,rental-nsw,-61,750000
dover-heights-nsw-2030,NSW,sales-abs,60.7,4700000
yarrie-lake-nsw-2388,NSW,rental-nsw,-60.7,340000
banksmeadow-nsw-2019,NSW,sales-abs,-60.6,429000
cumborah-nsw-2832,NSW,rental-nsw,60,160000
elong-elong-nsw-2831,NSW,rental-nsw,59.8,465000
charlotte-bay-nsw-2428,NSW,rental-nsw,-59.7,730000
