slug,state,region,statsSource,medianHousePrice,statsUpdatedAt
beswick-creek-nt-0852,NT,Katherine,abs-census-2021,334000,Wed May 06 2026 23:58:37 GMT+1000 (Australian Eastern Standard Time)
kelvin-grove-dc-qld-4059,QLD,Brisbane,abs-census-2021,524000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
black-duck-creek-qld-4343,QLD,Lockyer Valley,abs-census-2021,314000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
mountain-view-qld-4552,QLD,Moreton Bay,abs-census-2021,374000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
mount-franklin-vic-3461,VIC,Macedon Ranges,rental-vic,334000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
toorloo-arm-vic-3909,VIC,East Gippsland,rental-vic,286000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
geurie-nsw-2831,NSW,Brewarrina,rental-nsw,286000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
binjari-nt-0852,NT,Katherine,abs-census-2021,334000,Wed May 06 2026 23:58:37 GMT+1000 (Australian Eastern Standard Time)
paynes-crossing-nsw-2325,NSW,Central Coast,rental-nsw,615000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
weilmoringle-nsw-2839,NSW,Brewarrina,rental-nsw,161000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
lowesdale-nsw-2646,NSW,Berrigan,rental-nsw,262000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
ringwood-nsw-2646,NSW,Berrigan,rental-nsw,262000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
prospect-qld-4715,QLD,Banana,abs-census-2021,305000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
