slug,state,region,statsSource,medianHousePrice,regionMedian,regionN,deviationPct,population
darlinghurst-nsw-2010,NSW,Sydney,sales-abs,2392500,1905000,9,26,10615
frewville-sa-5063,SA,Burnside,sales-sa,2480000,1963250,14,26,896
beulah-park-sa-5067,SA,Burnside,sales-sa,1450000,1963250,14,-26,1601
clarence-gardens-sa-5039,SA,Marion,sales-sa,1486327,1177560,33,26,2373
karama-nt-0812,NT,Darwin,sales-abs,435000,585000,14,-26,4803
winthrop-wa-6150,WA,Melville,sales-abs,1389500,1100000,5,26,6020
caulfield-north-vic-3161,VIC,Glen Eira,sales-vic,2296500,1819000,15,26,16903
deception-bay-qld-4508,QLD,Moreton Bay,sales-abs,663000,897000,23,-26,19573
indooroopilly-qld-4068,QLD,Brisbane,sales-abs,1593500,1262500,86,26,13622
runcorn-qld-4113,QLD,Brisbane,sales-abs,935000,1262500,86,-26,14199
essendon-north-vic-3041,VIC,Moonee Valley,sales-vic,981000,1332750,10,-26,3071
werribee-south-vic-3030,VIC,Wyndham,sales-vic,850000,672750,14,26,2392
avondale-heights-vic-3034,VIC,Moonee Valley,sales-vic,990000,1332750,10,-26,12388
geelong-vic-3220,VIC,Greater Geelong,sales-vic,865500,687500,35,26,5811
watsonia-vic-3087,VIC,Banyule,sales-vic,941000,1263500,15,-26,5352
venus-bay-vic-3956,VIC,South Gippsland,sales-vic,454000,612500,8,-26,3037
leabrook-sa-5068,SA,Norwood Payneham and St Peters,sales-sa,2100000,1660500,19,26,1605
garran-act-2605,ACT,Woden,sales-abs,1605000,1276000,13,26,3706
bellevue-heights-sa-5050,SA,Mitcham,sales-sa,1178000,1581250,26,-26,2712
wayville-sa-5034,SA,Unley,sales-sa,1430000,1940000,9,-26,1922
sea-lake-vic-3533,VIC,Swan Hill,sales-vic,230000,312500,7,-26,619
toowong-qld-4066,QLD,Brisbane,sales-abs,1587500,1262500,86,26,12556
queenstown-sa-5014,SA,Port Adelaide Enfield,sales-sa,779500,1055500,40,-26,1943
mount-martha-vic-3934,VIC,Mornington Peninsula,sales-vic,1710000,1362500,26,26,19846
