slug,state,region,statsSource,medianHousePrice,regionMedian,regionN,deviationPct,population
seacombe-heights-sa-5047,SA,Onkaparinga,sales-sa,1230000,915750,42,34,1549
clarendon-sa-5157,SA,Adelaide Hills,sales-sa,880000,1335000,27,-34,643
magnetic-island-qld-4819,QLD,Townsville,sales-abs,565000,422500,8,34,2475
riverhills-qld-4074,QLD,Brisbane,sales-abs,835000,1262500,86,-34,4121
tewantin-qld-4565,QLD,Noosa,sales-abs,1050000,1595000,6,-34,11164
malvern-east-vic-3145,VIC,Glen Eira,sales-vic,2437500,1819000,15,34,22296
glenelg-sa-5045,SA,West Torrens,sales-sa,1949000,1467750,22,33,3440
coorparoo-qld-4151,QLD,Brisbane,sales-abs,1675000,1262500,86,33,18132
williamstown-vic-3016,VIC,Hobsons Bay,sales-vic,1600000,1200000,9,33,16025
bracken-ridge-qld-4017,QLD,Brisbane,sales-abs,840000,1262500,86,-33,17488
marleston-sa-5033,SA,West Torrens,sales-sa,982000,1467750,22,-33,1950
tootgarook-vic-3941,VIC,Mornington Peninsula,sales-vic,915000,1362500,26,-33,3178
mount-osmond-sa-5064,SA,Mitcham,sales-sa,2100000,1581250,26,33,464
ainslie-act-2602,ACT,North Canberra,sales-abs,1500000,1130675,18,33,5376
ashgrove-qld-4060,QLD,Brisbane,sales-abs,1685000,1262500,86,33,13450
rockhampton-city-qld-4700,QLD,Livingstone,sales-abs,255000,380000,7,-33,2059
boondall-qld-4034,QLD,Brisbane,sales-abs,845000,1262500,86,-33,9603
hampstead-gardens-sa-5086,SA,Tea Tree Gully,sales-sa,1200000,901400,29,33,1535
lorne-vic-3232,VIC,Surf Coast,sales-vic,1695000,1271250,12,33,1327
tonsley-sa-5042,SA,Marion,sales-sa,800000,1177560,33,-32,743
highgate-sa-5063,SA,Burnside,sales-sa,2600000,1963250,14,32,1504
vermont-vic-3133,VIC,Maroondah,sales-vic,1395500,1057750,14,32,10993
karana-downs-qld-4306,QLD,Scenic Rim,sales-abs,915000,695000,8,32,3800
braybrook-vic-3019,VIC,Maribyrnong,sales-vic,743000,1100000,7,-32,9682
watsonia-north-vic-3087,VIC,Banyule,sales-vic,863500,1263500,15,-32,3799
norlane-vic-3214,VIC,Greater Geelong,sales-vic,466000,687500,35,-32,8682
raymond-island-vic-3880,VIC,Wellington,sales-vic,580000,440000,15,32,589
springvale-south-vic-3172,VIC,Kingston,sales-vic,830000,1214000,20,-32,12766
glen-iris-vic-3146,VIC,Stonnington,sales-vic,2715000,2055000,9,32,26131
hove-sa-5048,SA,Marion,sales-sa,1550000,1177560,33,32,3189
harrington-park-nsw-2567,NSW,Campbelltown,sales-abs,1330000,1008750,6,32,13332
mornington-vic-3931,VIC,Mornington Peninsula,sales-vic,925000,1362500,26,-32,25759
