slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
weetaliba-nsw-2395,"Weetaliba",2395,150,150,2026-07-01T02:02:09.916Z,rental-nsw
weethalle-nsw-2669,"Weethalle",2669,100,130,2026-07-01T02:02:09.916Z,sales-nsw
weilmoringle-nsw-2839,"Weilmoringle",2839,150,103,2026-07-01T02:02:09.916Z,rental-nsw
weismantels-nsw-2415,"Weismantels",2415,220,260,2026-07-01T02:02:09.916Z,rental-nsw
weja-nsw-2669,"Weja",2669,100,85,2026-07-01T02:02:09.916Z,rental-nsw
wellington-vale-nsw-2371,"Wellington Vale",2371,163,139,2026-07-01T02:02:09.916Z,rental-nsw
wentworth-nsw-2648,"Wentworth",2648,200,200,2026-07-01T02:02:09.916Z,sales-nsw
werris-creek-nsw-2341,"Werris Creek",2341,220,220,2026-07-01T02:02:09.916Z,sales-nsw
west-bungawalbin-nsw-2471,"West Bungawalbin",2471,300,200,2026-07-01T02:02:09.916Z,sales-nsw
west-coraki-nsw-2471,"West Coraki",2471,300,350,2026-07-01T02:02:09.916Z,sales-nsw
westella-nsw-2831,"Westella",2831,250,213,2026-07-01T02:02:09.916Z,rental-nsw
west-wallsend-nsw-2286,"West Wallsend",2286,400,400,2026-07-01T02:02:09.916Z,sales-nsw
westwood-nsw-2729,"Westwood",2729,200,170,2026-07-01T02:02:09.916Z,rental-nsw
wetuppa-nsw-2734,"Wetuppa",2734,275,234,2026-07-01T02:02:09.916Z,rental-nsw
wheeo-nsw-2583,"Wheeo",2583,270,230,2026-07-01T02:02:09.916Z,rental-nsw
whiporie-nsw-2469,"Whiporie",2469,240,215,2026-07-01T02:02:09.916Z,sales-nsw
white-cliffs-nsw-2836,"White Cliffs",2836,150,90,2026-07-01T02:02:09.916Z,rental-nsw
white-top-nsw-2675,"White Top",2675,220,187,2026-07-01T02:02:09.916Z,rental-nsw
whitlow-nsw-2404,"Whitlow",2404,200,240,2026-07-01T02:02:09.916Z,rental-nsw
wilcannia-nsw-2836,"Wilcannia",2836,150,155,2026-07-01T02:02:09.916Z,sales-nsw
wild-cattle-creek-nsw-2453,"Wild Cattle Creek",2453,280,238,2026-07-01T02:02:09.916Z,rental-nsw
willie-ploma-nsw-2722,"Willie Ploma",2722,220,187,2026-07-01T02:02:09.916Z,rental-nsw
willow-tree-nsw-2339,"Willow Tree",2339,190,200,2026-07-01T02:02:09.916Z,sales-nsw
wilsons-valley-nsw-2624,"Wilsons Valley",2624,252,214,2026-07-01T02:02:09.916Z,rental-nsw
wimborne-nsw-2346,"Wimborne",2346,260,165,2026-07-01T02:02:09.916Z,rental-nsw
windale-nsw-2306,"Windale",2306,186,186,2026-07-01T02:02:09.916Z,sales-nsw
wingadee-nsw-2829,"Wingadee",2829,190,240,2026-07-01T02:02:09.916Z,rental-nsw
winifred-nsw-2631,"Winifred",2631,260,260,2026-07-01T02:02:09.916Z,sales-nsw
winton-nsw-2344,"Winton",2344,320,325,2026-07-01T02:02:09.916Z,sales-nsw
wirraba-nsw-2849,"Wirraba",2849,270,230,2026-07-01T02:02:09.916Z,rental-nsw
wirrimah-nsw-2803,"Wirrimah",2803,200,170,2026-07-01T02:02:09.916Z,sales-nsw
wisemans-ferry-nsw-2775,"Wisemans Ferry",2775,295,290,2026-07-01T02:02:09.916Z,sales-nsw
wog-wog-nsw-2622,"Wog Wog",2622,350,298,2026-07-01T02:02:09.916Z,rental-nsw
wollogorang-nsw-2581,"Wollogorang",2581,300,405,2026-07-01T02:02:09.916Z,sales-nsw
wollun-nsw-2354,"Wollun",2354,200,275,2026-07-01T02:02:09.916Z,rental-nsw
wombat-nsw-2587,"Wombat",2587,220,220,2026-07-01T02:02:09.916Z,sales-nsw
wondalga-nsw-2729,"Wondalga",2729,200,250,2026-07-01T02:02:09.916Z,sales-nsw
wongarbon-nsw-2831,"Wongarbon",2831,250,320,2026-07-01T02:02:09.916Z,sales-nsw
wongo-creek-nsw-2346,"Wongo Creek",2346,260,320,2026-07-01T02:02:09.916Z,rental-nsw
woodburn-nsw-2472,"Woodburn",2472,300,255,2026-07-01T02:02:09.916Z,sales-nsw
woodburn-nsw-2538,"Woodburn",2538,380,323,2026-07-01T02:02:09.916Z,rental-nsw
woodenbong-nsw-2476,"Woodenbong",2476,200,200,2026-07-01T02:02:09.916Z,sales-nsw
woodford-nsw-2778,"Woodford",2778,420,420,2026-07-01T02:02:09.916Z,sales-nsw
woodside-nsw-2424,"Woodside",2424,235,245,2026-07-01T02:02:09.916Z,rental-nsw
woodstock-nsw-2538,"Woodstock",2538,380,323,2026-07-01T02:02:09.916Z,sales-nsw
woodstock-nsw-2793,"Woodstock",2793,185,157,2026-07-01T02:02:09.916Z,sales-nsw
woody-head-nsw-2466,"Woody Head",2466,300,255,2026-07-01T02:02:09.916Z,rental-nsw
woolbrook-nsw-2354,"Woolbrook",2354,200,170,2026-07-01T02:02:09.916Z,sales-nsw
wooli-nsw-2462,"Wooli",2462,280,300,2026-07-01T02:02:09.916Z,sales-nsw
woomargama-nsw-2644,"Woomargama",2644,200,250,2026-07-01T02:02:09.916Z,sales-nsw
woombah-nsw-2469,"Woombah",2469,240,293,2026-07-01T02:02:09.916Z,sales-nsw
wrights-creek-nsw-2775,"Wrights Creek",2775,295,350,2026-07-01T02:02:09.916Z,rental-nsw
wyanbene-nsw-2622,"Wyanbene",2622,350,300,2026-07-01T02:02:09.916Z,sales-nsw
wyangala-nsw-2808,"Wyangala",2808,200,200,2026-07-01T02:02:09.916Z,sales-nsw
wyan-nsw-2469,"Wyan",2469,240,280,2026-07-01T02:02:09.916Z,rental-nsw
yabbra-nsw-2469,"Yabbra",2469,240,204,2026-07-01T02:02:09.916Z,rental-nsw
yaddra-nsw-2669,"Yaddra",2669,100,85,2026-07-01T02:02:09.916Z,rental-nsw
yallaroi-nsw-2408,"Yallaroi",2408,140,103,2026-07-01T02:02:09.916Z,rental-nsw
yanco-nsw-2703,"Yanco",2703,200,200,2026-07-01T02:02:09.916Z,sales-nsw
yanga-nsw-2711,"Yanga",2711,175,200,2026-07-01T02:02:09.916Z,rental-nsw
yantabulla-nsw-2840,"Yantabulla",2840,180,153,2026-07-01T02:02:09.916Z,rental-nsw
yaouk-nsw-2629,"Yaouk",2629,285,100,2026-07-01T02:02:09.916Z,rental-nsw
yarara-nsw-2644,"Yarara",2644,200,100,2026-07-01T02:02:09.916Z,rental-nsw
yarrabandai-nsw-2875,"Yarrabandai",2875,160,125,2026-07-01T02:02:09.916Z,sales-nsw
yarragrin-nsw-2842,"Yarragrin",2842,200,162,2026-07-01T02:02:09.916Z,rental-nsw
yarrahapinni-nsw-2441,"Yarrahapinni",2441,290,250,2026-07-01T02:02:09.916Z,rental-nsw
yarrowitch-nsw-2354,"Yarrowitch",2354,200,150,2026-07-01T02:02:09.916Z,rental-nsw
yaven-creek-nsw-2729,"Yaven Creek",2729,200,170,2026-07-01T02:02:09.916Z,rental-nsw
yearinan-nsw-2357,"Yearinan",2357,206,175,2026-07-01T02:02:09.916Z,rental-nsw
yellow-dam-nsw-2371,"Yellow Dam",2371,163,139,2026-07-01T02:02:09.916Z,rental-nsw
yenda-nsw-2681,"Yenda",2681,250,250,2026-07-01T02:02:09.916Z,sales-nsw
yeoval-nsw-2868,"Yeoval",2868,195,195,2026-07-01T02:02:09.916Z,sales-nsw
yethera-nsw-2874,"Yethera",2874,100,85,2026-07-01T02:02:09.916Z,rental-nsw
yetman-nsw-2410,"Yetman",2410,150,150,2026-07-01T02:02:09.916Z,sales-nsw
yullundry-nsw-2867,"Yullundry",2867,210,200,2026-07-01T02:02:09.916Z,rental-nsw
yuluma-nsw-2645,"Yuluma",2645,110,94,2026-07-01T02:02:09.916Z,rental-nsw
