id,suburbSlug,suburbName,postcode,state,period,periodDate,medianRentHouse,medianRentUnit,medianRent3Bed,medianRent2Bed,medianRent1Bed,bondLodgements,source,createdAt,updatedAt
"cmopedr7h002x2aevev33ocwc",,"Dromana-Portsea","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"595",,,,,,"rental-vic",2026-05-03T06:36:36.989Z,2026-05-03T06:36:36.989Z
"cmopedmxz001w2aev9m22kip2",,"East Brunswick","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"600",,,,,,"rental-vic",2026-05-03T06:36:31.463Z,2026-05-03T06:36:31.463Z
"cmopedium000w2aev14id0dtu",,"East Hawthorn","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"595",,,,,,"rental-vic",2026-05-03T06:36:26.158Z,2026-05-03T06:36:26.158Z
"cmopedfub00072aevb0rwimq6","east-melbourne-vic-3002","East Melbourne","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"650",,,,,,"rental-vic",2026-05-03T06:36:22.259Z,2026-05-03T06:36:22.259Z
"cmopedfz100082aevxxphy4re",,"East St Kilda","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"550",,,,,,"rental-vic",2026-05-03T06:36:22.429Z,2026-05-03T06:36:22.429Z
"cmopedts5003k2aevdmkwg8m6","echuca-vic-3564","Echuca","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"470",,,,,,"rental-vic",2026-05-03T06:36:40.325Z,2026-05-03T06:36:40.325Z
"cmopedki9001a2aevhctxltea","elsternwick-vic-3185","Elsternwick","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"600",,,,,,"rental-vic",2026-05-03T06:36:28.305Z,2026-05-03T06:36:28.305Z
"cmopedo4g00262aevjhfryb9y",,"Eltham-Research-Montmorency","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"640",,,,,,"rental-vic",2026-05-03T06:36:32.992Z,2026-05-03T06:36:32.992Z
"cmopedg3600092aevvdmydrw5","elwood-vic-3184","Elwood","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"595",,,,,,"rental-vic",2026-05-03T06:36:22.578Z,2026-05-03T06:36:22.578Z
"cmopedn21001x2aev7e40rsdd","essendon-vic-3040","Essendon","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"550",,,,,,"rental-vic",2026-05-03T06:36:31.609Z,2026-05-03T06:36:31.609Z
"cmopedo8r00272aev1l42s1oz",,"Fairfield-Alphington","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"550",,,,,,"rental-vic",2026-05-03T06:36:33.147Z,2026-05-03T06:36:33.147Z
"cmopedpr6002k2aevh8aqy20v","ferntree-gully-vic-3156","Ferntree Gully","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"600",,,,,,"rental-vic",2026-05-03T06:36:35.106Z,2026-05-03T06:36:35.106Z
"cmopedg72000a2aevmr5350cw","fitzroy-vic-3065","Fitzroy","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"700",,,,,,"rental-vic",2026-05-03T06:36:22.718Z,2026-05-03T06:36:22.718Z
"cmopedgb7000b2aevuk42zchw",,"Fitzroy North-Clifton Hill","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"725",,,,,,"rental-vic",2026-05-03T06:36:22.867Z,2026-05-03T06:36:22.867Z
