slug,state,postcode,population,medianAge,sharedInPostcode
carlton-vic-3000,VIC,3000,43084,28,1
enfield-south-nsw-2133,NSW,2133,10929,41,2
jallukur-vic-3377,VIC,3377,9602,45,5
buangla-nsw-2540,NSW,2540,48267,49,14
marrickville-south-nsw-2204,NSW,2204,26567,37,2
elderslie-nsw-2570,NSW,2570,63663,33,4
pacific-fair-qld-4218,QLD,4218,35371,41,9
maroon-dam-qld-4310,QLD,4310,6017,50,5
the-monument-qld-4825,QLD,4825,19299,31,25
waverley-qld-4825,QLD,4825,19299,31,25
st-clair-nsw-2759,NSW,2759,26434,36,1
lefevres-corner-nsw-2570,NSW,2570,63663,33,4
knorrit-forest-nsw-2424,NSW,2424,480,48,4
sandy-creek-nsw-2338,NSW,2338,1403,52,1
charlotte-pass-nsw-2624,NSW,2624,162,31,7
murrengenburg-nsw-2536,NSW,2536,19333,53,5
loreto-hill-qld-4120,QLD,4120,10387,33,1
yankees-creek-nsw-2550,NSW,2550,16936,49,10
jeremy-nsw-2795,NSW,2795,45077,39,14
newport-beach-nsw-2106,NSW,2106,9659,46,2
ellerslie-nsw-2729,NSW,2729,1622,47,4
orama-nsw-2454,NSW,2454,7953,47,6
mayfield-nsw-2580,NSW,2580,31629,42,12
homebush-south-nsw-2140,NSW,2140,20766,31,1
carlingford-north-nsw-2118,NSW,2118,27888,38,3
kingsdene-nsw-2118,NSW,2118,27888,38,3
oranmeir-nsw-2622,NSW,2622,4141,50,15
wog-wog-nsw-2622,NSW,2622,4141,50,15
boat-harbour-nsw-2484,NSW,2484,20083,47,7
wave-hill-nt-0852,NT,0852,8735,28,13
manly-east-nsw-2095,NSW,2095,16296,38,2
back-creek-nsw-2729,NSW,2729,1622,47,4
nanami-nsw-2806,NSW,2806,862,50,3
casula-mall-nsw-2170,NSW,2170,114479,35,3
royal-north-shore-hospital-nsw-2065,NSW,2065,31698,37,3
thalaba-nsw-2583,NSW,2583,4604,52,12
wetherill-park-bc-nsw-2164,NSW,2164,21273,38,2
len-waters-estate-nsw-2171,NSW,2171,38882,33,1
lakemba-dc-nsw-2195,NSW,2195,27103,32,1
bankstown-airport-nsw-2200,NSW,2200,48003,34,4
sylvania-southgate-nsw-2224,NSW,2224,14559,45,1
audley-nsw-2232,NSW,2232,35304,39,11
jibbon-nsw-2232,NSW,2232,35304,39,11
kirrawee-dc-nsw-2232,NSW,2232,35304,39,11
box-head-nsw-2257,NSW,2257,30403,47,2
little-pelican-nsw-2281,NSW,2281,15323,65,3
swans-crossing-nsw-2439,NSW,2439,4031,54,2
borambil-nsw-2329,NSW,2329,2138,45,1
enmore-nsw-2350,NSW,2350,26911,36,19
mulgowrie-nsw-2583,NSW,2583,4604,52,12
berlang-nsw-2622,NSW,2622,4141,50,15
bulee-nsw-2622,NSW,2622,4141,50,15
ashville-nsw-2594,NSW,2594,12150,42,2
flynns-beach-nsw-2444,NSW,2444,51117,47,5
cathcart-vic-3377,VIC,3377,9602,45,5
blacktown-westpoint-nsw-2148,NSW,2148,67483,35,1
lighthouse-beach-nsw-2444,NSW,2444,51117,47,5
akuna-bay-nsw-2084,NSW,2084,3759,47,1
rosewood-nsw-2446,NSW,2446,15054,44,6
kingswood-nsw-2747,NSW,2747,54397,33,2
lower-bucca-nsw-2450,NSW,2450,47335,44,6
bayldon-nsw-2452,NSW,2452,15260,45,1
warriewood-shopping-square-nsw-2102,NSW,2102,8379,41,3
hunters-hill-west-nsw-2110,NSW,2110,9846,46,1
gordonville-nsw-2454,NSW,2454,7953,47,6
homebush-bay-nsw-2127,NSW,2127,23198,33,1
toongabbie-east-nsw-2146,NSW,2146,19456,36,1
kooroowi-nsw-2454,NSW,2454,7953,47,6
woodstock-nsw-2538,NSW,2538,2580,54,3
blaxlands-flat-nsw-2460,NSW,2460,31079,45,20
coolaness-nsw-2470,NSW,2470,15477,44,5
baraimal-nsw-2470,NSW,2470,15477,44,5
beaury-creek-nsw-2475,NSW,2475,399,53,2
wallaby-creek-nsw-2475,NSW,2475,399,53,2
old-koreelah-nsw-2476,NSW,2476,847,53,3
ballina-dc-nsw-2478,NSW,2478,32053,48,2
spring-hill-nsw-2500,NSW,2500,43472,34,4
wollongong-dc-nsw-2500,NSW,2500,43472,34,4
oak-flats-dc-nsw-2529,NSW,2529,29134,40,3
porters-creek-nsw-2538,NSW,2538,2580,54,3
macarthur-square-nsw-2560,NSW,2560,82543,35,2
narellan-dc-nsw-2567,NSW,2567,40951,34,1
burragorang-valley-nsw-2570,NSW,2570,63663,33,4
trevallyn-nsw-2421,NSW,2421,2069,42,3
araluen-north-nsw-2622,NSW,2622,4141,50,15
wilsons-valley-nsw-2624,NSW,2624,162,31,7
ingeegoodbee-nsw-2627,NSW,2627,5263,35,12
cedar-creek-nsw-2484,NSW,2484,20083,47,7
broken-dam-nsw-2629,NSW,2629,534,58,7
bocci-nsw-2631,NSW,2631,629,50,3
rufus-river-nsw-2648,NSW,2648,2671,51,5
wollongong-west-nsw-2500,NSW,2500,43472,34,4
balarang-nsw-2529,NSW,2529,29134,40,3
mount-crystal-nsw-2665,NSW,2665,2017,48,1
oxley-nsw-2711,NSW,2711,3197,47,1
coree-south-nsw-2716,NSW,2716,988,50,2
campbelltown-north-nsw-2560,NSW,2560,82543,35,2
south-arm-nsw-2449,NSW,2449,2165,48,2
bong-bong-nsw-2576,NSW,2576,14189,56,2
east-bowral-nsw-2576,NSW,2576,14189,56,2
benanee-nsw-2737,NSW,2737,822,36,2
mount-mcdonald-nsw-2793,NSW,2793,1074,55,2
warrigal-nsw-2825,NSW,2825,2202,41,1
springfield-nsw-2250,NSW,2250,71168,41,5
whylandra-crossing-nsw-2830,NSW,2830,44963,36,18
arcadia-qld-4819,QLD,4819,2475,58,4
woodburn-nsw-2538,NSW,2538,2580,54,3
munyang-nsw-2624,NSW,2624,162,31,7
brooklands-nsw-2583,NSW,2583,4604,52,12
