slug,state,postcode,population,medianAge,sharedInPostcode
kedumba-nsw-2787,NSW,2787,4605,48,10
upper-bowman-nsw-2422,NSW,2422,5608,55,18
wapra-nsw-2422,NSW,2422,5608,55,18
horsham-west-vic-3400,VIC,3400,15134,40,4
doon-ayre-nsw-2422,NSW,2422,5608,55,18
wirradgurie-nsw-2422,NSW,2422,5608,55,18
back-creek-nsw-2422,NSW,2422,5608,55,18
maudville-nsw-2422,NSW,2422,5608,55,18
mograni-creek-nsw-2422,NSW,2422,5608,55,18
mount-peerless-nsw-2422,NSW,2422,5608,55,18
glenfern-qld-4515,QLD,4515,4467,42,2
stephens-creek-nsw-2880,NSW,2880,18097,44,9
myola-qld-4872,QLD,4872,4248,49,8
wonwondah-east-vic-3400,VIC,3400,15134,40,4
south-broken-hill-nsw-2880,NSW,2880,18097,44,9
broken-hill-west-nsw-2880,NSW,2880,18097,44,9
madgwick-nsw-2350,NSW,2350,26911,36,19
gowrie-nsw-2340,NSW,2340,52436,38,5
the-shades-nsw-2866,NSW,2866,3112,42,2
indulkana-sa-0872,SA,0872,14676,29,9
batman-vic-3058,VIC,3058,34906,37,3
brentford-square-vic-3131,VIC,3131,23191,40,2
mebbin-nsw-2484,NSW,2484,20083,47,7
kubin-village-qld-4875,QLD,4875,7526,28,23
spring-creek-qld-4361,QLD,4361,2654,49,4
ada-vic-3833,VIC,3833,340,56,6
tamworth-south-nsw-2340,NSW,2340,52436,38,5
bakers-creek-nsw-2447,NSW,2447,7809,50,2
donnellyville-nsw-2447,NSW,2447,7809,50,2
moree-east-nsw-2400,NSW,2400,9708,38,2
tikitere-nsw-2400,NSW,2400,9708,38,2
trustums-hill-nsw-2472,NSW,2472,1987,45,6
bona-vista-nsw-2350,NSW,2350,26911,36,19
armidale-east-nsw-2350,NSW,2350,26911,36,19
ben-venue-nsw-2350,NSW,2350,26911,36,19
acacia-park-nsw-2350,NSW,2350,26911,36,19
fruitgrove-qld-4113,QLD,4113,29524,35,1
argyle-nsw-2350,NSW,2350,26911,36,19
pandie-pandie-sa-5733,SA,5733,129,48,12
north-hill-nsw-2350,NSW,2350,26911,36,19
grafton-west-nsw-2460,NSW,2460,31079,45,20
stanley-bridge-qld-4169,QLD,4169,15882,35,2
humpybong-qld-4019,QLD,4019,20576,47,7
stream-hill-nsw-2526,NSW,2526,16736,39,3
deep-creek-nsw-2460,NSW,2460,31079,45,20
toowoomba-dc-qld-4350,QLD,4350,115218,38,23
ridgewood-qld-4563,QLD,4563,9826,50,3
tingalpa-bc-qld-4173,QLD,4173,8463,38,2
stockton-qld-4871,QLD,4871,10798,42,35
many-peaks-qld-4680,QLD,4680,55339,36,21
moyarra-vic-3951,VIC,3951,1020,49,1
ironside-qld-4067,QLD,4067,12220,25,3
nightcap-nsw-2480,NSW,2480,45938,44,9
bermagui-south-nsw-2546,NSW,2546,10066,59,5
pine-hill-qld-4724,QLD,4724,559,44,9
greendale-nsw-2546,NSW,2546,10066,59,5
beauty-point-nsw-2546,NSW,2546,10066,59,5
wallaga-lake-heights-nsw-2546,NSW,2546,10066,59,5
washpool-nsw-2460,NSW,2460,31079,45,20
lower-coldstream-nsw-2460,NSW,2460,31079,45,20
meeandah-qld-4008,QLD,4008,373,40,3
boigu-qld-4875,QLD,4875,7526,28,23
huntley-nsw-2530,NSW,2530,35038,39,1
cleveland-dc-qld-4163,QLD,4163,15850,51,2
broughton-qld-4820,QLD,4820,10732,41,8
banoon-qld-4109,QLD,4109,37703,36,5
carina-north-qld-4152,QLD,4152,47570,38,3
north-cairns-qld-4870,QLD,4870,73803,39,17
wellers-hill-qld-4121,QLD,4121,26062,37,4
saltern-qld-4725,QLD,4725,1540,43,5
punchbowl-nsw-2460,NSW,2460,31079,45,20
smiths-creek-nsw-2460,NSW,2460,31079,45,20
south-arm-nsw-2460,NSW,2460,31079,45,20
lilydale-qld-4344,QLD,4344,2709,42,4
willagee-central-wa-6156,WA,6156,18238,40,1
bandon-nsw-2871,NSW,2871,8965,42,9
iron-baron-sa-5611,SA,5611,125,54,7
clump-point-qld-4852,QLD,4852,4055,50,5
yagon-nsw-2423,NSW,2423,3297,55,4
wyuna-qld-4723,QLD,4723,1596,35,3
aldoga-qld-4694,QLD,4694,112,49,2
bidwill-qld-4650,QLD,4650,34942,49,16
summer-hill-nsw-2421,NSW,2421,2069,42,3
barcaldine-downs-qld-4725,QLD,4725,1540,43,5
chermside-south-qld-4032,QLD,4032,18389,36,4
margate-beach-qld-4019,QLD,4019,20576,47,7
wuraming-wa-6390,WA,6390,1673,42,5
wivenhoe-qld-4306,QLD,4306,43997,34,15
christies-vic-3962,VIC,3962,954,54,3
bedgerebong-nsw-2871,NSW,2871,8965,42,9
weelong-nsw-2871,NSW,2871,8965,42,9
yarragong-nsw-2871,NSW,2871,8965,42,9
newport-qld-4020,QLD,4020,25603,50,4
calarie-nsw-2871,NSW,2871,8965,42,9
carrawabbity-nsw-2871,NSW,2871,8965,42,9
cumbijowa-nsw-2871,NSW,2871,8965,42,9
the-sandon-nsw-2463,NSW,2463,8304,68,1
yorkrakine-wa-6409,WA,6409,386,46,2
keebah-qld-4806,QLD,4806,3771,49,8
osborne-qld-4806,QLD,4806,3771,49,8
sassafras-vic-3787,VIC,3787,961,47,2
dyraaba-creek-nsw-2470,NSW,2470,15477,44,5
wooroowoolgan-nsw-2470,NSW,2470,15477,44,5
tarkeeth-nsw-2455,NSW,2455,3185,55,2
long-flat-qld-4570,QLD,4570,46427,46,15
knox-city-centre-vic-3152,VIC,3152,34940,42,2
flyers-creek-nsw-2798,NSW,2798,2193,44,2
beneree-nsw-2798,NSW,2798,2193,44,2
maynards-plains-nsw-2453,NSW,2453,2787,55,10
leigh-nsw-2453,NSW,2453,2787,55,10
briggsvale-nsw-2453,NSW,2453,2787,55,10
planella-qld-4740,QLD,4740,85500,38,30
wombat-creek-nsw-2460,NSW,2460,31079,66,20
culbin-wa-6391,WA,6391,1040,41,6
shelly-beach-qld-4551,QLD,4551,68286,44,8
blue-hills-qld-4818,QLD,4818,32004,32,5
bindogundra-nsw-2870,NSW,2870,12036,39,11
birdlip-nsw-2655,NSW,2655,1416,42,2
belmont-heights-qld-4153,QLD,4153,4498,39,2
nambour-west-qld-4560,QLD,4560,36706,43,6
nadgee-nsw-2551,NSW,2551,3718,53,5
cape-moreton-qld-4025,QLD,4025,309,45,3
back-creek-nsw-2671,NSW,2671,3969,42,1
dorrigo-north-nsw-2453,NSW,2453,2787,55,10
bushy-park-qld-4825,QLD,4825,19299,31,25
millsville-nsw-2850,NSW,2850,19146,40,14
allingham-qld-4850,QLD,4850,10923,51,6
muldiva-nsw-2453,NSW,2453,2787,55,10
woodbury-qld-4703,QLD,4703,25129,43,10
black-creek-nsw-2439,NSW,2439,4031,54,2
pioneer-qld-4825,QLD,4825,19299,31,25
ryan-qld-4825,QLD,4825,19299,31,25
lakeside-estate-qld-4872,QLD,4872,4248,49,8
sandhill-tas-7249,TAS,7249,14056,38,3
the-gap-qld-4825,QLD,4825,19299,31,25
westdale-nsw-2653,NSW,2653,2636,46,4
calorafield-nsw-2705,NSW,2705,10687,38,2
red-hill-nsw-2720,NSW,2720,8501,43,7
dingadee-nsw-2420,NSW,2420,4016,50,6
collinsville-qld-4804,QLD,4804,2125,43,2
arkendeith-qld-4806,QLD,4806,3771,49,8
dusodie-nsw-2420,NSW,2420,4016,50,6
tillegra-nsw-2420,NSW,2420,4016,50,6
upper-chichester-nsw-2420,NSW,2420,4016,50,6
runnymede-qld-4615,QLD,4615,7356,52,1
oorindi-qld-4824,QLD,4824,3380,34,4
selwyn-qld-4824,QLD,4824,3380,34,4
paddys-river-nsw-2653,NSW,2653,2636,46,4
green-hills-nsw-2365,NSW,2365,3762,45,4
widgiewa-nsw-2700,NSW,2700,4873,44,6
midway-nsw-2720,NSW,2720,8501,43,7
myara-wa-6207,WA,6207,1243,64,2
willie-ploma-nsw-2722,NSW,2722,3418,44,9
isis-central-mill-qld-4660,QLD,4660,8048,56,10
walter-hill-qld-4854,QLD,4854,5525,43,5
cooba-nsw-2663,NSW,2663,5281,39,1
kywong-nsw-2700,NSW,2700,4873,44,6
wagragobilly-nsw-2722,NSW,2722,3418,44,9
tarrabandra-nsw-2722,NSW,2722,3418,44,9
jackalass-nsw-2722,NSW,2722,3418,44,9
bongongalong-nsw-2722,NSW,2722,3418,44,9
gulpa-nsw-2710,NSW,2710,9743,47,12
hill-plain-nsw-2710,NSW,2710,9743,47,12
jimaringle-nsw-2710,NSW,2710,9743,47,12
yallakool-nsw-2710,NSW,2710,9743,47,12
milby-nsw-2877,NSW,2877,3575,39,2
noonbinna-nsw-2794,NSW,2794,10504,46,2
westville-nsw-2794,NSW,2794,10504,46,2
punchbowl-tas-7249,TAS,7249,14056,38,3
bongalong-nsw-2722,NSW,2722,3418,44,9
edwardstown-nsw-2722,NSW,2722,3418,44,9
birrego-nsw-2700,NSW,2700,4873,44,6
bryans-gap-nsw-2372,NSW,2372,4789,56,14
bungulla-nsw-2372,NSW,2372,4789,56,14
glen-dhu-tas-7249,TAS,7249,14056,38,3
torryburn-nsw-2358,NSW,2358,3727,47,3
bakers-creek-nsw-2358,NSW,2358,3727,47,3
back-creek-nsw-2372,NSW,2372,4789,56,14
billyrimba-nsw-2372,NSW,2372,4789,56,14
bluff-rock-nsw-2372,NSW,2372,4789,56,14
pyes-creek-nsw-2372,NSW,2372,4789,56,14
steinbrook-nsw-2372,NSW,2372,4789,56,14
wonwondah-south-vic-3400,VIC,3400,15134,40,4
the-scrub-nsw-2372,NSW,2372,4789,56,14
goobang-nsw-2870,NSW,2870,12036,39,11
mt-britton-qld-4742,QLD,4742,1192,37,4
hobartville-qld-4724,QLD,4724,559,44,9
basalt-qld-4820,QLD,4820,10732,41,8
flaggy-rock-qld-4741,QLD,4741,7346,44,17
devoncourt-station-qld-4824,QLD,4824,3380,34,4
brassi-nsw-2710,NSW,2710,9743,47,12
moonahcullah-nsw-2710,NSW,2710,9743,47,12
cornalla-nsw-2710,NSW,2710,9743,47,12
moira-nsw-2710,NSW,2710,9743,47,12
branga-plains-nsw-2354,NSW,2354,3484,50,3
moona-plains-nsw-2354,NSW,2354,3484,50,3
upper-yarrowitch-nsw-2354,NSW,2354,3484,50,3
lumholtz-qld-4849,QLD,4849,1368,60,2
sandy-creek-nsw-2835,NSW,2835,3793,36,3
mackay-north-qld-4740,QLD,4740,85500,38,30
tannabar-nsw-2357,NSW,2357,4069,50,5
wattle-springs-nsw-2357,NSW,2357,4069,50,5
yearinan-nsw-2357,NSW,2357,4069,50,5
bomera-nsw-2357,NSW,2357,4069,50,5
horton-valley-nsw-2347,NSW,2347,1865,55,4
red-hill-nsw-2347,NSW,2347,1865,55,4
caroda-nsw-2347,NSW,2347,1865,55,4
grawin-opal-fields-nsw-2832,NSW,2832,2149,38,1
genaven-qld-4355,QLD,4355,2812,55,9
oxley-nsw-2824,NSW,2824,2055,46,2
woodlands-qld-4343,QLD,4343,12173,36,4
como-qld-4571,QLD,4571,903,49,2
carrarang-wa-6532,WA,6532,6915,39,8
maroochydore-south-qld-4558,QLD,4558,23327,46,5
dirk-hartog-wa-6537,WA,6537,995,43,4
chermside-bc-qld-4032,QLD,4032,18389,36,4
spring-creek-qld-4343,QLD,4343,12173,36,4
westwood-qld-4702,QLD,4702,29819,37,30
cheshunt-south-vic-3678,VIC,3678,6568,48,5
diggora-west-vic-3561,VIC,3561,4498,49,5
withersfield-qld-4702,QLD,4702,29819,37,30
mayreef-vic-3559,VIC,3559,563,51,3
lyndale-vic-3559,VIC,3559,563,51,3
ben-buckley-nsw-2850,NSW,2850,19146,40,14
beni-nsw-2830,NSW,2830,44963,36,18
dickygundi-nsw-2830,NSW,2830,44963,36,18
troy-junction-nsw-2830,NSW,2830,44963,36,18
mount-marsh-nsw-2469,NSW,2469,4359,45,15
orana-heights-nsw-2830,NSW,2830,44963,36,18
warnecliffe-nsw-2866,NSW,2866,3112,42,2
bullabulling-wa-6429,WA,6429,967,47,4
cameron-corner-nsw-2880,NSW,2880,18097,44,9
pines-forest-vic-3200,VIC,3200,5711,37,2
clouds-creek-nsw-2453,NSW,2453,2787,55,10
bulby-brush-nsw-2429,NSW,2429,9650,51,6
hamilton-dc-nsw-2303,NSW,2303,9710,42,1
kings-hill-nsw-2324,NSW,2324,25443,47,7
hillsborough-nsw-2320,NSW,2320,39163,37,2
pacific-palms-nsw-2428,NSW,2428,25187,58,5
moruben-nsw-2325,NSW,2325,31073,39,10
brownmore-nsw-2420,NSW,2420,4016,50,6
parliament-house-qld-4000,QLD,4000,20341,31,6
wild-cattle-creek-nsw-2453,NSW,2453,2787,27,10
brumby-plains-nsw-2476,NSW,2476,847,80,3
sherwood-nsw-2474,NSW,2474,6492,51,3
limestone-qld-4714,QLD,4714,2945,53,2
greenhills-beach-nsw-2230-gin-gin-qld-4671,QLD,4671,6285,52,5
canowindra-qld-4209,QLD,4209,74284,30,2
clontarf-beach-qld-4019,QLD,4019,20576,47,7
smiths-creek-nsw-2474,NSW,2474,6492,51,3
glen-fernaigh-nsw-2453,NSW,2453,2787,55,10
bannockburn-qld-4207,QLD,4207,68477,34,7
brisbane-city-dc-qld-4000,QLD,4000,20341,31,6
bogong-peaks-wilderness-nsw-2720,NSW,2720,8501,43,7
green-point-nsw-2251,NSW,2251,33721,46,1
grange-qld-4051,QLD,4051,29574,34,2
deep-creek-nsw-2469,NSW,2469,4359,54,15
gilles-downs-sa-5611,SA,5611,125,54,7
bullocks-flat-nsw-2627,NSW,2627,5263,35,12
four-corners-nsw-2716,NSW,2716,988,50,2
solus-wa-6207,WA,6207,1243,40,2
peel-island-qld-4184,QLD,4184,8481,61,2
avoca-tas-7213,TAS,7213,298,49,2
silverdale-qld-4307,QLD,4307,1575,43,1
rocky-point-vic-3377,VIC,3377,9602,45,5
lake-hiawatha-nsw-2462,NSW,2462,2529,53,1
storys-creek-tas-7213,TAS,7213,298,49,2
jacobs-river-nsw-2627,NSW,2627,5263,35,12
boonenne-qld-4610,QLD,4610,15212,41,7
corndale-qld-4610,QLD,4610,15212,41,7
brixton-qld-4730,QLD,4730,3177,39,10
richmond-qld-4822,QLD,4822,779,36,5
kippara-nsw-2441,NSW,2441,4288,50,6
kosciuszko-nsw-2627,NSW,2627,5263,35,12
wirraba-nsw-2849,NSW,2849,1610,52,3
pilot-wilderness-nsw-2627,NSW,2627,5263,35,12
nambour-bc-qld-4560,QLD,4560,36706,43,6
wateranga-qld-4621,QLD,4621,1808,62,1
long-point-nsw-2330,NSW,2330,21445,37,13
kosciuszko-national-park-nsw-2627,NSW,2627,5263,35,12
forest-glen-qld-4556,QLD,4556,47150,42,1
dural-nsw-2158,NSW,2158,8937,45,3
dorset-vale-sa-5157,SA,5157,3015,64,1
arundel-bc-qld-4214,QLD,4214,38871,40,4
mount-mackay-qld-4854,QLD,4854,5525,43,5
binna-burra-qld-4211,QLD,4211,62508,39,6
yarrawonga-qld-4810,QLD,4810,21697,40,8
croydon-qld-4871,QLD,4871,10798,42,35
georgetown-qld-4871,QLD,4871,10798,42,35
the-pilliga-nsw-2388,NSW,2388,2554,40,2
wattle-ridge-nsw-2575,NSW,2575,17846,43,7
black-range-vic-3381,VIC,3381,1401,48,6
mount-lindsey-nsw-2575,NSW,2575,17846,42,7
germantown-qld-4871,QLD,4871,10798,42,35
gilberton-qld-4871,QLD,4871,10798,42,35
charles-darwin-nt-0820,NT,0820,19920,35,8
goba-creek-nsw-2586,NSW,2586,2871,50,2
millwood-nt-0822,NT,0822,25304,30,40
silverwater-nsw-2128,NSW,2128,3600,35,1
barren-grounds-nsw-2577,NSW,2577,16724,47,8
laura-qld-4871,QLD,4871,10798,42,35
orkabie-qld-4741,QLD,4741,7346,44,17
cessnock-west-nsw-2325,NSW,2325,31073,39,10
patrick-qld-4725,QLD,4725,1540,43,5
sanderson-nt-0812,NT,0812,18634,37,5
nitjpurru-nt-0852,NT,0852,8735,28,13
bell-qld-4408,QLD,4408,538,48,2
clifton-beach-tas-7020,TAS,7020,2665,43,2
acton-park-tas-7170,TAS,7170,5734,43,2
st-albans-vic-3020,VIC,3020,44372,37,4
ithaca-qld-4059,QLD,4059,13740,30,6
myuna-bay-nsw-2264,NSW,2264,16162,47,2
heavitree-gap-cpa-nt-0873,NT,0873,2756,40,1
wollemi-nsw-2330,NSW,2330,21445,37,13
twenty-forests-nsw-2795,NSW,2795,45077,39,14
glen-nevis-nsw-2365,NSW,2365,3762,45,4
basin-plain-nsw-2380,NSW,2380,11118,37,7
corrabare-nsw-2325,NSW,2325,31073,39,10
mungo-nsw-2715,NSW,2715,1382,56,3
wilpinjong-nsw-2850,NSW,2850,19146,40,14
newcastle-university-nsw-2308,NSW,2308,1358,20,2
koolpinyah-nt-0822,NT,0822,25304,30,40
east-wellington-sa-5259,SA,5259,1111,49,5
elgin-qld-4721,QLD,4721,3962,36,3
magill-north-sa-5072,SA,5072,13937,41,2
kirkcaldy-sa-5022,SA,5022,16343,47,1
chinamen-wells-sa-5573,SA,5573,2206,51,1
mount-lyndhurst-sa-5731,SA,5731,234,39,14
onkaparinga-heights-sa-5163,SA,5163,14922,40,1
franklyn-sa-5421,SA,5421,135,56,2
pularumpi-nt-0822,NT,0822,25304,30,40
lake-eyre-sa-5733,SA,5733,129,48,12
bald-hills-vic-3364,VIC,3364,2272,47,7
waukaringa-sa-5440,SA,5440,169,49,38
bockelberg-sa-5655,SA,5655,106,39,4
katunga-station-sa-5611,SA,5611,125,54,7
oulnina-sa-5440,SA,5440,169,49,38
curnamona-sa-5440,SA,5440,169,49,38
lambina-sa-0872,SA,0872,14676,29,9
simpson-nt-0872,NT,0872,14676,29,32
north-yelta-sa-5558,SA,5558,5214,59,1
amata-nt-0872,NT,0872,14676,29,32
kulgera-nt-0872,NT,0872,14676,29,32
south-evans-head-nsw-2473,NSW,2473,3203,54,3
uley-sa-5607,SA,5607,5360,44,10
penwhaupell-qld-4625,QLD,4625,2681,48,7
julanka-holdings-sa-5238,SA,5238,4422,57,8
old-teal-flat-sa-5238,SA,5238,4422,57,8
katarapko-sa-5343,SA,5343,4977,43,1
alpana-sa-5730,SA,5730,115,43,14
devonborough-downs-sa-5440,SA,5440,169,49,38
yumbarra-sa-5690,SA,5690,3954,39,10
watraba-sa-5690,SA,5690,3954,39,10
smiths-creek-nsw-2484,NSW,2484,20083,47,7
kangaroo-inn-sa-5280,SA,5280,7561,62,1
bookookoorara-nsw-2372,NSW,2372,4789,56,14
cambarville-vic-3779,VIC,3779,501,59,2
morrl-morrl-vic-3387,VIC,3387,289,63,2
ulooloo-sa-5419,SA,5419,245,62,3
marleston-dc-sa-5033,SA,5033,8870,37,2
halleluja-hills-sa-5381,SA,5381,336,53,3
wooltana-sa-5732,SA,5732,146,46,11
lake-albert-sa-5259,SA,5259,1111,49,5
cadell-lagoon-sa-5321,SA,5321,547,47,2
wilcowie-sa-5432,SA,5432,148,41,7
mount-havelock-sa-5434,SA,5434,405,51,6
prelinna-sa-5434,SA,5434,405,51,6
umberatana-sa-5732,SA,5732,146,46,11
unley-dc-sa-5061,SA,5061,9752,44,2
norwood-south-sa-5067,SA,5067,10773,40,1
mount-victor-station-sa-5440,SA,5440,169,49,38
cairns-mc-qld-4870,QLD,4870,73803,39,17
manners-well-sa-5732,SA,5732,146,46,11
north-moolooloo-sa-5732,SA,5732,146,46,11
witjira-sa-5734,SA,5734,114,39,6
boolcoomatta-sa-5440,SA,5440,169,49,38
billa-kalina-sa-5720,SA,5720,252,40,6
angorigina-sa-5730,SA,5730,115,43,14
nilpena-sa-5730,SA,5730,115,43,14
mulyungarie-sa-5440,SA,5440,169,49,38
o-b-flat-sa-5291,SA,5291,10151,43,4
dalwood-nsw-2477,NSW,2477,12899,47,2
worlds-end-creek-sa-5381,SA,5381,336,53,3
waroonee-sa-5422,SA,5422,1662,54,2
johnburg-sa-5431,SA,5431,857,54,5
minburra-plain-sa-5431,SA,5431,857,54,5
east-point-nt-0820,NT,0820,19920,61,8
willurah-nsw-2710,NSW,2710,9743,47,12
davoren-park-south-sa-5113,SA,5113,19570,34,5
city-west-campus-sa-5000,SA,5000,18202,31,10
balmoral-nsw-2283,NSW,2283,24419,47,1
narrina-sa-5730,SA,5730,115,43,14
halifax-street-sa-5000,SA,5000,18202,31,10
torrensville-plaza-sa-5031,SA,5031,10108,37,1
boat-harbour-nsw-2316,NSW,2316,6577,52,1
modbury-north-dc-sa-5092,SA,5092,18288,39,1
melrose-park-dc-sa-5039,SA,5039,9202,37,1
wedge-island-sa-5606,SA,5606,14459,59,4
port-lincoln-south-sa-5606,SA,5606,14459,41,4
salem-sa-5255,SA,5255,10143,47,2
dalwood-nsw-2335,NSW,2335,8124,34,3
mayfield-nsw-2304,NSW,2304,15807,37,2
pedler-creek-sa-5171,SA,5171,6265,49,1
mount-gambier-dc-sa-5290,SA,5290,25591,41,2
unley-bc-sa-5061,SA,5061,9752,44,2
sullivan-sa-5607,SA,5607,5360,44,10
warrachie-sa-5607,SA,5607,5360,44,10
warrow-sa-5607,SA,5607,5360,44,10
farm-beach-sa-5607,SA,5607,5360,44,10
old-koomooloo-sa-5417,SA,5417,1501,52,11
oakvale-station-sa-5417,SA,5417,1501,52,11
bunyung-sa-5417,SA,5417,1501,52,11
apollo-bay-tas-7150,TAS,7150,3191,50,4
mount-olive-nsw-2330,NSW,2330,21445,37,13
brunette-downs-qld-4825,QLD,4825,19299,31,25
pine-valley-station-sa-5417,SA,5417,1501,52,11
quondong-sa-5417,SA,5417,1501,52,11
whyalla-norrie-east-sa-5608,SA,5608,13041,41,2
whyalla-norrie-north-sa-5608,SA,5608,13041,41,2
younghusband-holdings-sa-5238,SA,5238,4422,76,8
darlington-nsw-2330,NSW,2330,21445,37,13
greenlands-nsw-2330,NSW,2330,21445,37,13
boat-harbour-nsw-2480,NSW,2480,45938,44,9
upalinna-sa-5434,SA,5434,405,51,6
spring-hill-nsw-2800,NSW,2800,48283,37,21
mount-eba-sa-5720,SA,5720,252,40,6
mount-vivian-sa-5720,SA,5720,252,40,6
lansdowne-nsw-2430,NSW,2430,36841,49,7
chundaria-sa-5690,SA,5690,3954,39,10
bookabie-sa-5690,SA,5690,3954,39,10
fowlers-bay-sa-5690,SA,5690,3954,39,10
glenroy-nsw-2640,NSW,2640,39879,39,2
nundroo-sa-5690,SA,5690,3954,39,10
rocky-point-sa-5238,SA,5238,4422,57,8
mount-lofty-sa-5152,SA,5152,6389,46,2
port-adelaide-dc-sa-5015,SA,5015,6006,42,3
purnong-landing-sa-5238,SA,5238,4422,57,8
wall-sa-5238,SA,5238,4422,57,8
tranmere-north-sa-5073,SA,5073,16831,40,1
darwin-river-dam-nt-0822,NT,0822,25304,66,40
clayton-sa-5256,SA,5256,1547,56,1
kulkami-sa-5307,SA,5307,560,54,3
edilillie-sa-5630,SA,5630,129,42,2
tivendale-nt-0822,NT,0822,25304,68,40
deep-creek-nsw-2440,NSW,2440,23166,45,4
gununa-qld-4892,QLD,4892,5329,30,11
mount-falkland-sa-5730,SA,5730,115,43,14
wak-wak-nt-0822,NT,0822,25304,75,40
millers-creek-sa-5720,SA,5720,252,40,6
the-point-sa-5254,SA,5254,2502,44,2
lake-gilles-sa-5611,SA,5611,125,54,7
barry-nsw-2799,NSW,2799,4156,40,2
steam-plains-nsw-2710,NSW,2710,9743,56,12
prospect-east-sa-5082,SA,5082,16310,37,2
beaumonts-sa-5320,SA,5320,699,57,5
mitcham-shopping-centre-sa-5062,SA,5062,15502,44,1
magill-south-sa-5072,SA,5072,13937,41,2
jamieson-sa-5640,SA,5640,1029,51,1
riverton-qld-4385,QLD,4385,1166,51,3
oaky-park-nsw-2790,NSW,2790,15452,47,6
horse-peninsula-sa-5607,SA,5607,5360,44,10
holmes-nt-0812,NT,0812,18634,37,5
yellowdine-wa-6426,WA,6426,894,26,4
canegrass-sa-5417,SA,5417,1501,52,11
parcoola-sa-5417,SA,5417,1501,52,11
balladonia-wa-6443,WA,6443,722,29,3
wallareenya-wa-6721,WA,6721,4367,34,1
carlisle-north-wa-6101,WA,6101,17301,35,2
mawson-wa-6383,WA,6383,935,55,2
narrakine-wa-6391,WA,6391,1040,41,6
texas-qld-4385,QLD,4385,1166,51,3
finucane-wa-6722,WA,6722,11305,32,1
warradale-north-sa-5046,SA,5046,9756,40,1
yilki-sa-5211,SA,5211,16845,60,2
shelly-beach-qld-4810,QLD,4810,21697,40,8
pullaming-nsw-2381,NSW,2381,1302,42,2
the-gap-nsw-2472,NSW,2472,1987,45,6
oakajee-wa-6532,WA,6532,6915,66,8
coburn-wa-6532,WA,6532,6915,39,8
frankland-wa-6396,WA,6396,353,46,2
londonderry-wa-6429,WA,6429,967,47,4
babinda-qld-4861,QLD,4861,1541,47,1
taunton-qld-4674,QLD,4674,1579,55,3
garie-nsw-2232,NSW,2232,35304,39,11
bynoe-harbour-nt-0822,NT,0822,25304,30,40
warriewood-dc-nsw-2102,NSW,2102,8379,41,3
kenyu-nsw-2586,NSW,2586,2871,50,2
parker-range-wa-6426,WA,6426,894,47,4
collett-creek-nt-0822,NT,0822,25304,61,40
clearfield-nsw-2469,NSW,2469,4359,58,15
banksiadale-wa-6213,WA,6213,654,50,2
massey-bay-wa-6701,WA,6701,5259,40,9
woodleigh-wa-6701,WA,6701,5259,40,9
rangemore-qld-4352,QLD,4352,31026,39,14
sandy-creek-qld-4515,QLD,4515,4467,42,2
vernon-islands-nt-0822,NT,0822,25304,30,40
tueloga-nsw-2734,NSW,2734,472,45,4
langley-qld-4630,QLD,4630,2337,51,3
kain-nsw-2622,NSW,2622,4141,50,15
dorre-island-wa-6701,WA,6701,5259,40,9
talisker-wa-6701,WA,6701,5259,40,9
wargambegal-nsw-2672,NSW,2672,1511,40,2
yuraygir-nsw-2464,NSW,2464,7058,24,2
thalaba-nsw-2397,NSW,2397,286,45,2
shoal-bay-nt-0830,NT,0830,18501,23,2
bondi-forest-nsw-2632,NSW,2632,1892,53,2
belrose-west-nsw-2085,NSW,2085,11452,46,1
bickley-vale-nsw-2570,NSW,2570,63663,33,4
endrick-nsw-2622,NSW,2622,4141,50,15
lake-austin-wa-6640,WA,6640,215,54,2
trent-wa-6333,WA,6333,6310,50,4
mount-romance-wa-6333,WA,6333,6310,50,4
burrup-wa-6714,WA,6714,17657,43,6
antonymyre-wa-6714,WA,6714,17657,32,6
greenmount-qld-4751,QLD,4751,4681,37,2
swan-bay-nsw-2471,NSW,2471,2821,44,1
mount-anketell-wa-6714,WA,6714,17657,32,6
carlisle-south-wa-6101,WA,6101,17301,35,2
joondalup-dc-wa-6027,WA,6027,42828,40,1
mount-observation-wa-6302,WA,6302,3485,56,4
walliston-dc-wa-6076,WA,6076,22308,47,2
mornington-island-qld-4871,QLD,4871,10798,42,35
willow-vale-nsw-2575,NSW,2575,17846,42,7
glynde-dc-sa-5070,SA,5070,15393,41,3
broadway-nedlands-wa-6009,WA,6009,18936,37,2
mount-lindesay-wa-6333,WA,6333,6310,78,4
yokine-south-wa-6060,WA,6060,25486,37,2
bassendean-dc-wa-6054,WA,6054,21029,39,1
yilkari-wa-6430,WA,6430,21920,34,1
hmas-rushcutters-nsw-2027,NSW,2027,7810,46,1
lindfield-west-nsw-2070,NSW,2070,14648,41,1
baudin-wa-6284,WA,6284,2875,39,1
malmalling-wa-6556,WA,6556,1969,44,2
koombooloomba-qld-4872,QLD,4872,4248,63,8
bindoon-training-area-wa-6502,WA,6502,1221,24,1
upper-murray-wa-6390,WA,6390,1673,80,5
mugincoble-nsw-2870,NSW,2870,12036,39,11
faithfull-nsw-2700,NSW,2700,4873,44,6
camboon-qld-4719,QLD,4719,1084,41,2
penrith-plaza-nsw-2750,NSW,2750,49204,37,2
