slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
ardmona-vic-3629,"Ardmona",3629,250,220,2026-05-03T06:36:43.056Z,rental-vic
areegra-vic-3480,"Areegra",3480,180,153,2026-05-03T06:36:43.056Z,rental-vic
argyle-vic-3523,"Argyle",3523,255,217,2026-05-03T06:36:43.056Z,rental-vic
armadale-north-vic-3143,"Armadale North",3143,421,358,2026-05-03T06:36:43.056Z,rental-vic
armstrong-creek-vic-3217,"Armstrong Creek",3217,425,361,2026-05-03T06:36:43.056Z,sales-vic
armstrong-vic-3377,"Armstrong",3377,250,175,2026-05-03T06:36:43.056Z,rental-vic
arnold-vic-3551,"Arnold",3551,360,306,2026-05-03T06:36:43.056Z,rental-vic
arnold-west-vic-3551,"Arnold West",3551,360,154,2026-05-03T06:36:43.056Z,rental-vic
arthurs-creek-vic-3099,"Arthurs Creek",3099,391,218,2026-05-03T06:36:43.056Z,rental-vic
arthurs-seat-vic-3936,"Arthurs Seat",3936,405,435,2026-05-03T06:36:43.056Z,rental-vic
ascot-vic-3364,"Ascot",3364,207,176,2026-05-03T06:36:43.056Z,rental-vic
ascot-vic-3551,"Ascot",3551,360,306,2026-05-03T06:36:43.056Z,rental-vic
ashbourne-vic-3442,"Ashbourne",3442,391,332,2026-05-03T06:36:43.056Z,rental-vic
ashwood-vic-3147,"Ashwood",3147,410,391,2026-05-03T06:36:43.056Z,sales-vic
aspendale-gardens-vic-3195,"Aspendale Gardens",3195,421,496,2026-05-03T06:36:43.056Z,sales-vic
athlone-vic-3818,"Athlone",3818,330,231,2026-05-03T06:36:43.056Z,rental-vic
attwood-vic-3049,"Attwood",3049,360,358,2026-05-03T06:36:43.056Z,sales-vic
aubrey-vic-3393,"Aubrey",3393,180,153,2026-05-03T06:36:43.056Z,rental-vic
auburn-south-vic-3122,"Auburn South",3122,400,340,2026-05-03T06:36:43.056Z,rental-vic
auburn-vic-3123,"Auburn",3123,415,353,2026-05-03T06:36:43.056Z,rental-vic
auchmore-vic-3570,"Auchmore",3570,230,196,2026-05-03T06:36:43.056Z,rental-vic
avalon-vic-3212,"Avalon",3212,370,398,2026-05-03T06:36:43.056Z,rental-vic
avenel-vic-3664,"Avenel",3664,300,300,2026-05-03T06:36:43.056Z,sales-vic
avoca-vic-3467,"Avoca",3467,210,179,2026-05-03T06:36:43.056Z,sales-vic
avonmore-vic-3559,"Avonmore",3559,200,295,2026-05-03T06:36:43.056Z,rental-vic
avon-plains-vic-3477,"Avon Plains",3477,180,153,2026-05-03T06:36:43.056Z,rental-vic
avon-plains-vic-3478,"Avon Plains",3478,185,157,2026-05-03T06:36:43.056Z,rental-vic
avonsleigh-vic-3782,"Avonsleigh",3782,383,356,2026-05-03T06:36:43.056Z,rental-vic
axe-creek-vic-3551,"Axe Creek",3551,360,270,2026-05-03T06:36:43.056Z,rental-vic
axedale-vic-3551,"Axedale",3551,360,330,2026-05-03T06:36:43.056Z,rental-vic
ayrford-vic-3268,"Ayrford",3268,239,200,2026-05-03T06:36:43.056Z,rental-vic
baarmutha-vic-3747,"Baarmutha",3747,300,255,2026-05-03T06:36:43.056Z,rental-vic
bacchus-marsh-vic-3340,"Bacchus Marsh",3340,340,330,2026-05-03T06:36:43.056Z,sales-vic
baddaginnie-vic-3670,"Baddaginnie",3670,260,260,2026-05-03T06:36:43.056Z,rental-vic
badger-creek-vic-3777,"Badger Creek",3777,350,323,2026-05-03T06:36:43.056Z,sales-vic
bael-bael-vic-3579,"Bael Bael",3579,200,170,2026-05-03T06:36:43.056Z,rental-vic
bagshot-north-vic-3551,"Bagshot North",3551,360,210,2026-05-03T06:36:43.056Z,rental-vic
bagshot-vic-3551,"Bagshot",3551,360,400,2026-05-03T06:36:43.056Z,rental-vic
bahgallah-vic-3312,"Bahgallah",3312,120,175,2026-05-03T06:36:43.056Z,rental-vic
bailieston-vic-3608,"Bailieston",3608,290,275,2026-05-03T06:36:43.056Z,rental-vic
bakery-hill-vic-3350,"Bakery Hill",3350,300,313,2026-05-03T06:36:43.056Z,rental-vic
balaclava-vic-3183,"Balaclava",3183,396,337,2026-05-03T06:36:43.056Z,sales-vic
bald-hills-vic-3364,"Bald Hills",3364,207,176,2026-05-03T06:36:43.056Z,rental-vic
bald-rock-vic-3575,"Bald Rock",3575,160,136,2026-05-03T06:36:43.056Z,rental-vic
balintore-vic-3249,"Balintore",3249,250,300,2026-05-03T06:36:43.056Z,rental-vic
ballangeich-vic-3279,"Ballangeich",3279,233,150,2026-05-03T06:36:43.056Z,rental-vic
ballan-vic-3342,"Ballan",3342,330,330,2026-05-03T06:36:43.056Z,sales-vic
ballapur-vic-3483,"Ballapur",3483,152,80,2026-05-03T06:36:43.056Z,rental-vic
ballarat-central-vic-3350,"Ballarat Central",3350,300,300,2026-05-03T06:36:43.056Z,sales-vic
ballarat-east-vic-3350,"Ballarat East",3350,300,290,2026-05-03T06:36:43.056Z,sales-vic
ballarat-north-vic-3350,"Ballarat North",3350,300,285,2026-05-03T06:36:43.056Z,sales-vic
ballarat-roadside-delivery-vic-3352,"Ballarat Roadside Delivery",3352,322,274,2026-05-03T06:36:43.056Z,rental-vic
ballarat-west-vic-3350,"Ballarat West",3350,300,255,2026-05-03T06:36:43.056Z,rental-vic
ballendella-vic-3561,"Ballendella",3561,213,120,2026-05-03T06:36:43.056Z,rental-vic
balliang-east-vic-3340,"Balliang East",3340,340,410,2026-05-03T06:36:43.056Z,rental-vic
balliang-vic-3340,"Balliang",3340,340,300,2026-05-03T06:36:43.056Z,rental-vic
ballyrogan-vic-3375,"Ballyrogan",3375,169,114,2026-05-03T06:36:43.056Z,rental-vic
balmattum-vic-3666,"Balmattum",3666,250,260,2026-05-03T06:36:43.056Z,rental-vic
balmoral-vic-3407,"Balmoral",3407,100,85,2026-05-03T06:36:43.056Z,rental-vic
balnarring-beach-vic-3926,"Balnarring Beach",3926,456,423,2026-05-03T06:36:43.056Z,sales-vic
balnarring-vic-3926,"Balnarring",3926,456,480,2026-05-03T06:36:43.056Z,sales-vic
balook-vic-3971,"Balook",3971,236,201,2026-05-03T06:36:43.056Z,rental-vic
balwyn-east-vic-3103,"Balwyn East",3103,460,391,2026-05-03T06:36:43.056Z,rental-vic
balwyn-north-vic-3104,"Balwyn North",3104,554,554,2026-05-03T06:36:43.056Z,sales-vic
bamawm-extension-vic-3561,"Bamawm Extension",3561,213,160,2026-05-03T06:36:43.056Z,rental-vic
bamawm-extension-vic-3564,"Bamawm Extension",3564,285,160,2026-05-03T06:36:43.056Z,rental-vic
bamawm-vic-3561,"Bamawm",3561,213,213,2026-05-03T06:36:43.056Z,rental-vic
bambra-vic-3241,"Bambra",3241,290,300,2026-05-03T06:36:43.056Z,rental-vic
bamganie-vic-3333,"Bamganie",3333,300,275,2026-05-03T06:36:43.056Z,rental-vic
bandiana-vic-3691,"Bandiana",3691,340,380,2026-05-03T06:36:43.056Z,sales-vic
bandiana-vic-3694,"Bandiana",3694,380,380,2026-05-03T06:36:43.056Z,sales-vic
bangerang-vic-3393,"Bangerang",3393,180,200,2026-05-03T06:36:43.056Z,rental-vic
bangholme-vic-3175,"Bangholme",3175,321,176,2026-05-03T06:36:43.056Z,rental-vic
